id	audio	duration_ms	n_frames	tgt_text	speaker	tgt_lang	src_text
train-0	SpeechRE/IWSLT/Datasets/conll04/audio/train/train-0_16k.wav:4499:276205	14989	276205	<triplet> Radio Reloj Network <subj> Havana <obj> Base	2	en	Newspaper ` Explains ' <entity> U.S. </entity> Interests Section Events FL1402001894 <entity> Havana </entity> <entity> Radio Reloj Network </entity> in Spanish <entity> 2100 GMT </entity> <entity> 13 Feb 94 </entity>
train-1	SpeechRE/IWSLT/Datasets/conll04/audio/train/train-1_16k.wav:4501:305771	4006	305771	<triplet> Bruno Pusterla <subj> Italian Agricultural Confederation <obj> Work	2	en	` ` If it does not snow , and a lot , within this month we will have no water to submerge <entity> 150 , 000 hectares </entity> ( <entity> 370 , 500 acres </entity> ) of <entity> rice </entity> , ' ' said <entity> Bruno Pusterla </entity> , a top official of the <entity> Italian Agricultural Confederation </entity> .
train-2	SpeechRE/IWSLT/Datasets/conll04/audio/train/train-2_16k.wav:4499:220525	12574	220525	<triplet> Morgan City <subj> Louisiana <obj> Locate	2	en	The self-propelled rig Avco 5 was headed to shore with 14 people aboard early Monday when it capsized about <entity> 20 miles </entity> off the <entity> Louisiana </entity> coast , near <entity> Morgan City </entity> , <entity> Lifa </entity> said.
train-3	SpeechRE/IWSLT/Datasets/conll04/audio/train/train-3_16k.wav:4501:162155	9532	162155	<triplet> Annie Oakley <subj> Willowdell , Darke County <obj> Live <triplet> Little Miss Sure Shot <subj> Willowdell , Darke County <obj> Live <triplet> Phoebe Ann Moses <subj> Willowdell , Darke County <obj> Live	2	en	<entity> Annie Oakley </entity> , also known as <entity> Little Miss Sure Shot </entity> , was born <entity> Phoebe Ann Moses </entity> in <entity> Willowdell , Darke County </entity> , in 1860 .
train-5	SpeechRE/IWSLT/Datasets/conll04/audio/train/train-5_16k.wav:4502:283882	14176	283882	<triplet> XINHUA <subj> Beijing <obj> Base	2	en	Anhui ` Surplus ' Rural Laborers Move to Cities OW1102132994 <entity> Beijing </entity> <entity> XINHUA </entity> in English <entity> 1313 GMT </entity> <entity> 11 Feb 94 </entity>
train-9	SpeechRE/IWSLT/Datasets/conll04/audio/train/train-9_16k.wav:4500:410604	21885	410604	<triplet> Oswald <subj> President Kennedy <obj> Kill <subj> Officer Tippit <obj> Kill	2	en	The viewers of " <entity> JFK </entity> " and " The Men Who <entity> Killed Kennedy </entity> " never learn about these facts , nor do they ever learn about all of the other massive body of evidence that conclusively proves beyond a reasonable doubt that <entity> Oswald </entity> was the lone gunman who killed <entity> President Kennedy </entity> and <entity> Officer Tippit </entity> and that there was no coverup by <entity> Earl Warren </entity> or by the <entity> Warren Commission. </entity> ;
train-10	SpeechRE/IWSLT/Datasets/conll04/audio/train/train-10_16k.wav:4504:174440	12597	174440	<triplet> Bob Boyd <subj> Chattanooga <obj> Live <subj> Tenn. <obj> Live <triplet> Chattanooga <subj> Tenn. <obj> Locate	2	en	For singer and guitarist <entity> Bob Boyd </entity> , 57 , the Ranch has been home since he left <entity> Chattanooga </entity> , <entity> Tenn. </entity> , <entity> 35 years </entity> ago .
train-12	SpeechRE/IWSLT/Datasets/conll04/audio/train/train-12_16k.wav:4504:222440	11970	222440	<triplet> State Department <subj> U.S. <obj> Base <triplet> Harvard <subj> U.S. <obj> Base	2	en	He has been the <entity> State Department </entity> 's refugee coordinator and is a former <entity> Harvard </entity> politics professor. _Ronald for the rank of ambassador during his tenure as <entity> U.S. </entity> negotiator on textile matters.
train-13	SpeechRE/IWSLT/Datasets/conll04/audio/train/train-13_16k.wav:4505:78439	3332	78439	<triplet> Mikhail Shevtsov <subj> ITAR-TASS <obj> Work	2	en	( By <entity> ITAR-TASS </entity> correspondent <entity> Mikhail Shevtsov </entity> )
train-15	SpeechRE/IWSLT/Datasets/conll04/audio/train/train-15_16k.wav:4502:97642	5538	97642	<triplet> Betsy Ross <subj> Philadelphia <obj> Live	2	en	In 1752 , flagmaker <entity> Betsy Ross </entity> was born in <entity> Philadelphia </entity> .
train-17	SpeechRE/IWSLT/Datasets/conll04/audio/train/train-17_16k.wav:4532:219724	6142	219724	<triplet> XINHUA <subj> Beijing <obj> Base	2	en	OW3004022094 <entity> Beijing </entity> <entity> XINHUA </entity> Domestic Service in Chinese <entity> 1149 GMT </entity> <entity> 29 Apr 94 </entity>
train-18	SpeechRE/IWSLT/Datasets/conll04/audio/train/train-18_16k.wav:4500:190572	11366	190572	<triplet> Boise <subj> Idaho <obj> Locate	2	en	In <entity> Idaho </entity> , where <entity> 76 , 000 acres </entity> have been blackened , smoke from fires miles away hung over <entity> Boise </entity> but no warnings were issued to stay indoors.
train-19	SpeechRE/IWSLT/Datasets/conll04/audio/train/train-19_16k.wav:4502:284650	16452	284650	<triplet> Santa Ana <subj> Southern California <obj> Locate	2	en	The strong <entity> Santa Ana </entity> winds that earlier produced wind gusts as high as <entity> 100 mph </entity> in <entity> Southern California </entity> , destroying a blimp , shutting down an airport , and cutting power to thousands of utility customers were subsiding , officials said .
train-22	SpeechRE/IWSLT/Datasets/conll04/audio/train/train-22_16k.wav:4499:276205	14501	276205	<triplet> Charles Guiteau <subj> President James Garfield <obj> Kill	2	en	In another scene , <entity> President James Garfield </entity> 's assassin <entity> Charles Guiteau </entity> ( <entity> Jonathan Hadary </entity> ) prances up and down the stairs of the gallows where he will be hanged , all the while singing a spirited <entity> Gospel </entity> tune about " going to the <entity> Lordy </entity> . "
train-25	SpeechRE/IWSLT/Datasets/conll04/audio/train/train-25_16k.wav:4499:271213	15778	271213	<triplet> Woodrow Wilson <subj> Staunton , Va <obj> Live	2	en	<entity> Woodrow Wilson </entity> ( 28th President ) : Born at about midnight , leaving the date in doubt , <entity> Dec. </entity> 28 or 29 , 1856 , in a Presbyterian manse in <entity> Staunton , Va </entity> .
train-29	SpeechRE/IWSLT/Datasets/conll04/audio/train/train-29_16k.wav:4499:97645	4679	97645	<triplet> U.S. Coast Guard Training Center <subj> Petaluma <obj> Base <subj> Calif. <obj> Base <triplet> Petaluma <subj> Calif. <obj> Locate	2	en	<entity> U.S. Coast Guard Training Center </entity> , <entity> Petaluma </entity> , <entity> Calif. </entity> ;
train-30	SpeechRE/IWSLT/Datasets/conll04/audio/train/train-30_16k.wav:4503:199401	11738	199401	<triplet> IZVESTIYA <subj> Moscow <obj> Base	2	en	PM2303111794 <entity> Moscow </entity> <entity> IZVESTIYA </entity> in Russian <entity> 23 Mar 94 </entity> p 3
train-31	SpeechRE/IWSLT/Datasets/conll04/audio/train/train-31_16k.wav:4502:200170	10972	200170	<triplet> Pepperell <subj> West Point <obj> Base <subj> Ga. <obj> Base <triplet> West Point <subj> Ga. <obj> Locate	2	en	<entity> Pepperell </entity> , based in <entity> West Point </entity> , <entity> Ga. </entity> , manufactures Martex towels and Arrow shirts and has about a quarter of the nation 's home fashion textile market .
train-32	SpeechRE/IWSLT/Datasets/conll04/audio/train/train-32_16k.wav:4499:250477	12620	250477	<triplet> John Harvey Adamson <subj> Don Bolles <obj> Kill	2	en	In a brief order , the justices refused to reinstate the death sentence of <entity> John Harvey Adamson </entity> , who was convicted of murdering <entity> Phoenix </entity> newspaper reporter <entity> Don Bolles </entity> in 1976 .
train-33	SpeechRE/IWSLT/Datasets/conll04/audio/train/train-33_16k.wav:4501:162923	8394	162923	<triplet> Michael R. Gordon <subj> Montgomery County House delegation <obj> Work	2	en	<entity> Michael R. Gordon </entity> , chairman of the <entity> Montgomery County House delegation </entity> , thinks <entity> Ms. Toth </entity> is in an ` ` embarrassing ' ' position .
