id	audio	duration_ms	n_frames	tgt_text	speaker	tgt_lang	src_text
train-0	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-0_16k.wav:0:232582	14989	232582	<triplet> Radio Reloj Network <subj> Havana <obj> Base	0	en	Newspaper ` Explains ' <entity> U.S. </entity> Interests Section Events FL1402001894 <entity> Havana </entity> <entity> Radio Reloj Network </entity> in Spanish <entity> 2100 GMT </entity> <entity> 13 Feb 94 </entity>
train-1	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-1_16k.wav:0:56862	4006	56862	<triplet> Bruno Pusterla <subj> Italian Agricultural Confederation <obj> Work	0	en	` ` If it does not snow , and a lot , within this month we will have no water to submerge <entity> 150 , 000 hectares </entity> ( <entity> 370 , 500 acres </entity> ) of <entity> rice </entity> , ' ' said <entity> Bruno Pusterla </entity> , a top official of the <entity> Italian Agricultural Confederation </entity> .
train-2	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-2_16k.wav:0:193946	12574	193946	<triplet> Morgan City <subj> Louisiana <obj> Locate	0	en	The self-propelled rig Avco 5 was headed to shore with 14 people aboard early Monday when it capsized about <entity> 20 miles </entity> off the <entity> Louisiana </entity> coast , near <entity> Morgan City </entity> , <entity> Lifa </entity> said.
train-3	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-3_16k.wav:0:145275	9532	145275	<triplet> Annie Oakley <subj> Willowdell , Darke County <obj> Live <triplet> Little Miss Sure Shot <subj> Willowdell , Darke County <obj> Live <triplet> Phoebe Ann Moses <subj> Willowdell , Darke County <obj> Live	0	en	<entity> Annie Oakley </entity> , also known as <entity> Little Miss Sure Shot </entity> , was born <entity> Phoebe Ann Moses </entity> in <entity> Willowdell , Darke County </entity> , in 1860 .
train-4	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-4_16k.wav:0:148253	9718	148253	<triplet> Livingston <subj> Texas <obj> Locate	0	en	<entity> Penry </entity> raped <entity> Pamela Moseley Carpenter </entity> on <entity> Oct. 15 , 1979 </entity> , in <entity> Livingston </entity> , <entity> Texas </entity> , then stabbed her to death .
train-5	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-5_16k.wav:0:219577	14176	219577	<triplet> XINHUA <subj> Beijing <obj> Base	0	en	Anhui ` Surplus ' Rural Laborers Move to Cities OW1102132994 <entity> Beijing </entity> <entity> XINHUA </entity> in English <entity> 1313 GMT </entity> <entity> 11 Feb 94 </entity>
train-6	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-6_16k.wav:0:191714	12435	191714	<triplet> Shi Liming <subj> Institute of Zoology <obj> Work <triplet> Institute of Zoology <subj> Kunming <obj> Base	0	en	Meanwhile , <entity> Shi Liming </entity> at the <entity> Institute of Zoology </entity> of <entity> Kunming </entity> found that pandas lack variety in their protein heredity , which may serve as one of the major reasons for pandas ' near extinction .
train-7	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-7_16k.wav:0:250044	16080	250044	<triplet> Lucille Ball <subj> Jamestown N.Y. <obj> Live	0	en	Here are highlights of <entity> Lucille Ball </entity> 's career : 1911 _ Born <entity> Aug. </entity> 6 , 1911 in <entity> Jamestown N.Y. </entity> , the daughter of an electrician and concert pianist <entity> Desiree Ball. </entity> 1926
train-8	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-8_16k.wav:0:196552	12736	196552	<triplet> John Wilkes Booth <subj> Abraham Lincoln <obj> Kill	0	en	<entity> John Wilkes Booth </entity> wasn 't a shiftless actor who killed <entity> Abraham Lincoln </entity> out of despondency over the South 's loss in the <entity> Civil War </entity> , but a Confederate intelligence agent , a new book contends .
train-9	SpeechRE/IWSLT/Datasets/conll04/audio-1/train/train-9_16k.wav:0:342925	21885	342925	<triplet> Oswald <subj> President Kennedy <obj> Kill <subj> Officer Tippit <obj> Kill	0	en	The viewers of " <entity> JFK </entity> " and " The Men Who <entity> Killed Kennedy </entity> " never learn about these facts , nor do they ever learn about all of the other massive body of evidence that conclusively proves beyond a reasonable doubt that <entity> Oswald </entity> was the lone gunman who killed <entity> President Kennedy </entity> and <entity> Officer Tippit </entity> and that there was no coverup by <entity> Earl Warren </entity> or by the <entity> Warren Commission. </entity> ;
